index,s,value_lower,value_upper
1380,345/8,186659658907/32000000000000000000000000000000,46664914753/8000000000000000000000000000000
1381,1381/32,45229186237/8000000000000000000000000000000,180916745053/32000000000000000000000000000000
1382,691/16,43837630469/8000000000000000000000000000000,175350521981/32000000000000000000000000000000
1383,1383/32,42488888371/8000000000000000000000000000000,169955553589/32000000000000000000000000000000
1384,173/4,8236328541/1600000000000000000000000000000,6589062837/1280000000000000000000000000000
1385,1385/32,997865419/200000000000000000000000000000,31931693429/6400000000000000000000000000000
1386,693/16,7737314621/1600000000000000000000000000000,6189851701/1280000000000000000000000000000
1387,1387/32,5999409981/1280000000000000000000000000000,14998524963/3200000000000000000000000000000
1388,347/8,3634267213/800000000000000000000000000000,1162965509/256000000000000000000000000000
1389,1389/32,17612262829/4000000000000000000000000000000,140898102737/32000000000000000000000000000000
1390,695/16,27312624749/6400000000000000000000000000000,2731262477/640000000000000000000000000000
1391,1391/32,132361518137/32000000000000000000000000000000,66180759121/16000000000000000000000000000000
1392,87/2,16036147793/4000000000000000000000000000000,128289182449/32000000000000000000000000000000
1393,1393/32,124342139151/32000000000000000000000000000000,15542767407/4000000000000000000000000000000
1394,697/16,120516533711/32000000000000000000000000000000,15064566727/4000000000000000000000000000000
1395,1395/32,7300539361/2000000000000000000000000000000,116808629881/32000000000000000000000000000000
1396,349/8,28303701513/8000000000000000000000000000000,113214806157/32000000000000000000000000000000
1397,1397/32,5486577633/1600000000000000000000000000000,21946310553/6400000000000000000000000000000
1398,699/16,26588866927/8000000000000000000000000000000,106355467813/32000000000000000000000000000000
1399,1399/32,10308325397/3200000000000000000000000000000,4123330163/1280000000000000000000000000000
1400,175/4,19982343133/6400000000000000000000000000000,9991171577/3200000000000000000000000000000
1401,1401/32,12104719417/4000000000000000000000000000000,96837755441/32000000000000000000000000000000
1402,701/16,93858370823/32000000000000000000000000000000,5866148183/2000000000000000000000000000000
1403,1403/32,18194130467/6400000000000000000000000000000,2274266311/800000000000000000000000000000
1404,351/8,17634355921/6400000000000000000000000000000,8817177971/3200000000000000000000000000000
1405,1405/32,667648587/250000000000000000000000000000,85459019241/32000000000000000000000000000000
1406,703/16,20707430383/8000000000000000000000000000000,82829721637/32000000000000000000000000000000
1407,1407/32,80281318911/32000000000000000000000000000000,10035164877/4000000000000000000000000000000
1408,44,19452830599/8000000000000000000000000000000,77811322501/32000000000000000000000000000000
1409,1409/32,18854329921/8000000000000000000000000000000,75417319789/32000000000000000000000000000000
1410,705/16,18274243173/8000000000000000000000000000000,73096972797/32000000000000000000000000000000
1411,1411/32,8856001909/4000000000000000000000000000000,70848015377/32000000000000000000000000000000
1412,353/8,34334125499/16000000000000000000000000000000,68668251103/32000000000000000000000000000000
1413,1413/32,3327777551/1600000000000000000000000000000,532444409/256000000000000000000000000000
1414,707/16,64507851987/32000000000000000000000000000000,16126963023/8000000000000000000000000000000
1415,1415/32,6252315403/3200000000000000000000000000000,12504630827/6400000000000000000000000000000
1416,177/4,6059951881/3200000000000000000000000000000,12119903783/6400000000000000000000000000000
1417,1417/32,58735067623/32000000000000000000000000000000,3670941733/2000000000000000000000000000000
1418,709/16,56927979569/32000000000000000000000000000000,28463989837/16000000000000000000000000000000
1419,1419/32,55176489769/32000000000000000000000000000000,27588244937/16000000000000000000000000000000
1420,355/8,10695777529/6400000000000000000000000000000,213915551/128000000000000000000000000000
1421,1421/32,3239594703/2000000000000000000000000000000,51833515353/32000000000000000000000000000000
1422,711/16,25119382819/16000000000000000000000000000000,50238765743/32000000000000000000000000000000
1423,1423/32,9738616263/6400000000000000000000000000000,2434654071/1600000000000000000000000000000
1424,89/2,47194952699/32000000000000000000000000000000,11798738201/8000000000000000000000000000000
1425,1425/32,9148583331/6400000000000000000000000000000,1143572919/800000000000000000000000000000
1426,713/16,44335555063/32000000000000000000000000000000,1385486099/1000000000000000000000000000000
1427,1427/32,10742873359/8000000000000000000000000000000,42971493541/32000000000000000000000000000000
1428,357/8,41649399573/32000000000000000000000000000000,20824699839/16000000000000000000000000000000
1429,1429/32,20183991131/16000000000000000000000000000000,40367982367/32000000000000000000000000000000
1430,715/16,39125990017/32000000000000000000000000000000,19562995061/16000000000000000000000000000000
1431,1431/32,592534529/500000000000000000000000000000,37922209961/32000000000000000000000000000000
1432,179/4,36755466117/32000000000000000000000000000000,18377733111/16000000000000000000000000000000
1433,1433/32,35624619309/32000000000000000000000000000000,17812309707/16000000000000000000000000000000
1434,717/16,34528564999/32000000000000000000000000000000,2158035319/2000000000000000000000000000000
1435,1435/32,6693246547/6400000000000000000000000000000,836655821/800000000000000000000000000000
1436,359/8,32436584999/32000000000000000000000000000000,2027286569/2000000000000000000000000000000
1437,1437/32,31438616193/32000000000000000000000000000000,15719308149/16000000000000000000000000000000
1438,719/16,1523567583/1600000000000000000000000000000,6094270353/6400000000000000000000000000000
1439,1439/32,3691730841/4000000000000000000000000000000,29533846833/32000000000000000000000000000000
1440,45,2862518579/3200000000000000000000000000000,5725037179/6400000000000000000000000000000
1441,1441/32,2774448141/3200000000000000000000000000000,5548896303/6400000000000000000000000000000
1442,721/16,5378174691/6400000000000000000000000000000,672271839/800000000000000000000000000000
1443,1443/32,407242629/500000000000000000000000000000,26063528361/32000000000000000000000000000000
1444,361/8,25261637793/32000000000000000000000000000000,12630818949/16000000000000000000000000000000
1445,1445/32,12242209453/16000000000000000000000000000000,24484419011/32000000000000000000000000000000
1446,723/16,2373111253/3200000000000000000000000000000,4746222527/6400000000000000000000000000000
1447,1447/32,4600196591/6400000000000000000000000000000,1150049153/1600000000000000000000000000000
1448,181/4,4458663421/6400000000000000000000000000000,2229331721/3200000000000000000000000000000
1449,1449/32,5401855961/8000000000000000000000000000000,21607423949/32000000000000000000000000000000
1450,725/16,20942633301/32000000000000000000000000000000,10471316703/16000000000000000000000000000000
1451,1451/32,5074574053/8000000000000000000000000000000,20298296317/32000000000000000000000000000000
1452,363/8,19673783291/32000000000000000000000000000000,4918445849/8000000000000000000000000000000
1453,1453/32,19068484613/32000000000000000000000000000000,9534242359/16000000000000000000000000000000
1454,727/16,9240904509/16000000000000000000000000000000,18481809123/32000000000000000000000000000000
1455,1455/32,17913183533/32000000000000000000000000000000,8956591819/16000000000000000000000000000000
1456,91/2,3472410563/6400000000000000000000000000000,434051323/800000000000000000000000000000
1457,1457/32,16827878607/32000000000000000000000000000000,2103484839/4000000000000000000000000000000
1458,729/16,16310139211/32000000000000000000000000000000,4077534829/8000000000000000000000000000000
1459,1459/32,7904164491/16000000000000000000000000000000,15808329087/32000000000000000000000000000000
1460,365/8,1532195783/3200000000000000000000000000000,3064391587/6400000000000000000000000000000
1461,1461/32,7425275373/16000000000000000000000000000000,14850550851/32000000000000000000000000000000
1462,731/16,14393647333/32000000000000000000000000000000,7196823719/16000000000000000000000000000000
1463,1463/32,174385017/400000000000000000000000000000,2790160293/6400000000000000000000000000000
1464,183/4,540863213/1280000000000000000000000000000,1352158043/3200000000000000000000000000000
1465,1465/32,13105565033/32000000000000000000000000000000,6552782569/16000000000000000000000000000000
1466,733/16,6351174593/16000000000000000000000000000000,12702349291/32000000000000000000000000000000
1467,1467/32,6155769493/16000000000000000000000000000000,12311539091/32000000000000000000000000000000
1468,367/8,745797047/2000000000000000000000000000000,11932752857/32000000000000000000000000000000
1469,1469/32,5782810273/16000000000000000000000000000000,11565620651/32000000000000000000000000000000
1470,735/16,1120978381/3200000000000000000000000000000,2241956783/6400000000000000000000000000000
1471,1471/32,10864895019/32000000000000000000000000000000,2716223781/8000000000000000000000000000000
1472,46,10530617341/32000000000000000000000000000000,5265308723/16000000000000000000000000000000
1473,1473/32,5103312153/16000000000000000000000000000000,10206624411/32000000000000000000000000000000
1474,737/16,9892599489/32000000000000000000000000000000,4946299797/16000000000000000000000000000000
1475,1475/32,47941181/160000000000000000000000000000,1917647261/6400000000000000000000000000000
1476,369/8,1858647437/6400000000000000000000000000000,929323729/3200000000000000000000000000000
1477,1477/32,1801462867/6400000000000000000000000000000,225182861/800000000000000000000000000000
1478,739/16,4365094203/16000000000000000000000000000000,8730188511/32000000000000000000000000000000
1479,1479/32,4230794373/16000000000000000000000000000000,8461588851/32000000000000000000000000000000
1480,185/4,8201253029/32000000000000000000000000000000,4100626567/16000000000000000000000000000000
1481,1481/32,7948927/32000000000000000000000000000,1589785421/6400000000000000000000000000000
1482,741/16,3852182113/16000000000000000000000000000000,7704364331/32000000000000000000000000000000
1483,1483/32,3733662929/16000000000000000000000000000000,7467325963/32000000000000000000000000000000
1484,371/8,3618790197/16000000000000000000000000000000,7237580499/32000000000000000000000000000000
1485,1485/32,1402980691/6400000000000000000000000000000,175372589/800000000000000000000000000000
1486,743/16,1359815513/6400000000000000000000000000000,679907767/3200000000000000000000000000000
1487,1487/32,6589891939/32000000000000000000000000000000,1647473011/8000000000000000000000000000000
1488,93/2,3193571139/16000000000000000000000000000000,6387142383/32000000000000000000000000000000
1489,1489/32,6190630569/32000000000000000000000000000000,3095315337/16000000000000000000000000000000
1490,745/16,6000164889/32000000000000000000000000000000,3000082497/16000000000000000000000000000000
1491,1491/32,2907779611/16000000000000000000000000000000,5815559327/32000000000000000000000000000000
1492,373/8,225465331/1280000000000000000000000000000,281831669/1600000000000000000000000000000
1493,1493/32,54632123/320000000000000000000000000000,1092642481/6400000000000000000000000000000
1494,747/16,330945433/2000000000000000000000000000000,5295127033/32000000000000000000000000000000
1495,1495/32,5132212999/32000000000000000000000000000000,320763319/2000000000000000000000000000000
1496,187/4,994862281/6400000000000000000000000000000,497431151/3200000000000000000000000000000
1497,1497/32,1205316983/8000000000000000000000000000000,4821268037/32000000000000000000000000000000
1498,749/16,584116639/4000000000000000000000000000000,146029163/1000000000000000000000000000000
1499,1499/32,2264581037/16000000000000000000000000000000,2264581089/16000000000000000000000000000000
1500,375/8,2194907203/16000000000000000000000000000000,438981451/3200000000000000000000000000000
1501,1501/32,850950803/6400000000000000000000000000000,4254754119/32000000000000000000000000000000
1502,751/16,824769799/6400000000000000000000000000000,4123849099/32000000000000000000000000000000
1503,1503/32,3996971499/32000000000000000000000000000000,3996971603/32000000000000000000000000000000
1504,47,1936998807/16000000000000000000000000000000,1936998859/16000000000000000000000000000000
1505,1505/32,3754807237/32000000000000000000000000000000,3754807341/32000000000000000000000000000000
1506,753/16,3639283963/32000000000000000000000000000000,3639284067/32000000000000000000000000000000
1507,1507/32,1763657483/16000000000000000000000000000000,352731507/3200000000000000000000000000000
1508,377/8,3418790893/32000000000000000000000000000000,3418790997/32000000000000000000000000000000
1509,1509/32,662721151/6400000000000000000000000000000,3313605859/32000000000000000000000000000000
1510,755/16,3211656823/32000000000000000000000000000000,3211656927/32000000000000000000000000000000
