case,degree,t,energy,integrated_work,work_defect,norm_defect
short,6,0.17500000000000002,4.79462245533469,4.794622455432167,-9.747669338366904e-11,-3.6161074135065974e-12
short,6,0.18,4.861531235111232,4.861531235128196,-1.6964207816272392e-11,-3.115285807098189e-13
short,6,0.185,4.913922852325449,4.913922852339995,-1.4546586157848651e-11,-3.3650859876388495e-13
short,6,0.19,4.951516289809149,4.951516289821221,-1.2072121080564102e-11,-5.003775171985581e-13
short,6,0.195,4.974126788255508,4.974126788310716,-5.5208282390140084e-11,-2.161826273550105e-12
short,6,0.2,4.981666815398909,4.9816668154176,-1.8690826664169435e-11,-2.9309887850104133e-13
slow,3,0.0,0.0,0.0,0.0,0.0
slow,3,0.1,0.00038533325125696425,0.00038533325125711897,-1.5471565001368148e-16,-1.1102230246251565e-16
slow,3,0.2,0.0015389553905471903,0.00153895539054769,-4.996003610813204e-16,-1.5543122344752192e-15
slow,3,0.30000000000000004,0.0034537371344551555,0.0034537371344544,7.554720737878995e-16,0.0
slow,3,0.4,0.00611781008152244,0.00611781008152824,-5.8000479419284545e-15,-4.440892098500626e-16
slow,3,0.5,0.009514593577027474,0.009514593577019585,7.889522368742519e-15,-1.5543122344752192e-15
slow,3,0.6000000000000001,0.013622843839988104,0.013622843839987053,1.0512424264419451e-15,4.440892098500626e-16
slow,3,0.7000000000000001,0.01841673468008574,0.018416734680118917,-3.317832120153241e-14,-2.55351295663786e-15
