steps,t,energy,integrated_work,norm_defect,work_defect
320,0.09375000000000001,0.0027058711013624496,0.0027058711121469336,4.440892098500626e-16,-1.0784483982922977e-11
320,0.1,0.003077912782447685,0.0030779127963938132,2.220446049250313e-16,-1.3946128106512301e-11
320,0.10625000000000001,0.003473753087329938,0.00347375310508283,6.661338147750939e-16,-1.7752892038369605e-11
320,0.11250000000000002,0.003893353798666226,0.003893353820951857,8.881784197001252e-16,-2.22856308060293e-11
320,0.11875000000000001,0.004336674396604102,0.0043366744242337146,4.440892098500626e-16,-2.762961213986781e-11
320,0.125,0.004803672061233746,0.004803672095107946,8.881784197001252e-16,-3.387420031975008e-11
320,0.13125,0.005294301675189616,0.005294301716302685,4.440892098500626e-16,-4.1113068678655385e-11
320,0.1375,0.005808515826404423,0.005808515875848239,6.661338147750939e-16,-4.944381536142739e-11
320,0.14375000000000002,0.006346264811016016,0.006346264869984069,8.881784197001252e-16,-5.896805266303318e-11
320,0.15000000000000002,0.0069074966364298124,0.006907496706220948,6.661338147750939e-16,-6.979113554433924e-11
320,0.15625000000000003,0.007492157024537938,0.00749215710656011,1.1102230246251565e-15,-8.202217204045237e-11
320,0.1625,0.008100189415097504,0.008100189510871306,1.1102230246251565e-15,-9.577380208347641e-11
320,0.16875,0.008731534969269584,0.00873153508043173,6.661338147750939e-16,-1.1116214546080805e-10
320,0.17500000000000002,0.009386132573321285,0.009386132701627846,8.881784197001252e-16,-1.2830656155593534e-10
320,0.18125000000000002,0.01006391884249253,0.010063918989822208,4.440892098500626e-16,-1.4732967797137508e-10
320,0.18750000000000003,0.010764828125030363,0.010764828293387423,8.881784197001252e-16,-1.683570591964889e-10
320,0.19375,0.011488792506392209,0.011488792697909454,6.661338147750939e-16,-1.9151724477139975e-10
320,0.2,0.012235741813621099,0.012235742030562553,8.881784197001252e-16,-2.1694145438400092e-10
320,0.20625000000000002,0.01300560361989456,0.01300560386465809,6.661338147750939e-16,-2.4476352888935793e-10
320,0.21250000000000002,0.013798303249249957,0.01379830352436966,2.220446049250313e-16,-2.7511970306093314e-10
320,0.21875000000000003,0.014613763781488385,0.014613764089636883,2.220446049250313e-16,-3.0814849803773026e-10
320,0.225,0.015451906057259738,0.015451906401250302,6.661338147750939e-16,-3.43990563464458e-10
320,0.23125,0.016312648683331397,0.016312649066119896,8.881784197001252e-16,-3.827884988150121e-10
320,0.23750000000000002,0.017195908038043065,0.017195908462729715,8.881784197001252e-16,-4.2468665042982856e-10
320,0.24375000000000002,0.018101598276950164,0.01810159874678117,8.881784197001252e-16,-4.698310074324752e-10
320,0.25,0.019029631338658582,0.019029631857027593,8.881784197001252e-16,-5.183690109100692e-10
320,0.25625,0.01997991695085331,0.01997991752130263,6.661338147750939e-16,-5.704493197256078e-10
320,0.2625,0.020952362636523475,0.02095236326274514,1.7763568394002505e-15,-6.262216648011965e-10
320,0.26875,0.02194687372038644,0.021946874406223213,1.1102230246251565e-15,-6.858367727902159e-10
320,0.27499999999999997,0.022963353335513994,0.02296335408495998,1.9984014443252818e-15,-7.494459844381574e-10
320,0.28125,0.024001702430162627,0.024001703247363896,1.5543122344752192e-15,-8.172012684604102e-10
320,0.2875,0.025061819774811256,0.0250618206640662,1.3322676295501878e-15,-8.892549439865061e-10
320,0.29375,0.026143601969408757,0.026143602935168188,1.5543122344752192e-15,-9.657594307599382e-10
320,0.3,0.027246943450833835,0.027246944497701053,1.3322676295501878e-15,-1.0468672179131389e-09
320,0.30625,0.028371736500570417,0.02837173763330096,1.5543122344752192e-15,-1.1327305447783598e-09
320,0.3125,0.029517871252600737,0.029517872476102026,1.9984014443252818e-15,-1.2235012898653697e-09
320,0.31875,0.03068523570151914,0.03068523702084991,1.7763568394002505e-15,-1.319330769633531e-09
320,0.325,0.0318737157108692,0.03187371713123866,2.220446049250313e-15,-1.420369460936044e-09
320,0.33125,0.03308319502170652,0.033083196548473505,1.7763568394002505e-15,-1.5267669836727116e-09
320,0.3375,0.034313555261390453,0.034313556900062145,1.7763568394002505e-15,-1.6386716913951993e-09
320,0.34375,0.03556467595260652,0.03556467770883724,2.220446049250313e-15,-1.7562307233487395e-09
320,0.35,0.036836434522623016,0.036836436402212624,1.5543122344752192e-15,-1.879589608955179e-09
320,0.35625,0.038128706312783596,0.038128708321675794,1.5543122344752192e-15,-2.0088921984240393e-09
320,0.3625,0.03944136458823878,0.03944136673251923,1.1102230246251565e-15,-2.144280454585701e-09
320,0.36875,0.04077428054791882,0.04077428283381298,1.3322676295501878e-15,-2.2858941614578576e-09
320,0.375,0.042127323334750014,0.04212732576862095,1.9984014443252818e-15,-2.433870938123306e-09
320,0.38125,0.04350036004611747,0.043500362634463385,1.5543122344752192e-15,-2.5883459126019304e-09
320,0.3875,0.0448932557445762,0.04489325849402771,1.1102230246251565e-15,-2.749451513683887e-09
320,0.39375,0.04630587346881289,0.04630587638613022,1.7763568394002505e-15,-2.9173173321517254e-09
320,0.4,0.04773807424486061,0.04773807733693069,1.3322676295501878e-15,-3.0920700791470246e-09
320,0.40625,0.049189717097569086,0.04918972037140219,1.3322676295501878e-15,-3.2738331073867144e-09
