mask,face_count,odd_edge_count,moment_exact
1481,6,10,0
1482,6,10,0
1483,7,8,0
1484,6,12,0
1485,7,10,0
1486,7,10,0
1487,8,8,0
1488,5,10,0
1489,6,8,0
1490,6,12,0
1491,7,10,0
1492,6,10,0
1493,7,8,0
1494,7,12,0
1495,8,10,0
1496,6,10,0
1497,7,6,0
1498,7,10,0
1499,8,6,0
1500,7,10,0
1501,8,6,0
1502,8,10,0
1503,9,6,0
1504,5,14,0
1505,6,14,0
1506,6,12,0
1507,7,12,0
1508,6,12,0
1509,7,12,0
1510,7,10,0
1511,8,10,0
1512,6,12,0
1513,7,10,0
1514,7,12,0
1515,8,10,0
1516,7,10,0
1517,8,8,0
1518,8,10,0
1519,9,8,0
1520,6,12,0
1521,7,10,0
1522,7,12,0
1523,8,10,0
1524,7,10,0
1525,8,8,0
1526,8,10,0
1527,9,8,0
1528,7,10,0
1529,8,6,0
1530,8,12,0
1531,9,8,0
1532,8,8,0
1533,9,4,0
1534,9,10,0
1535,10,6,0
1536,2,8,0
1537,3,12,0
1538,3,8,0
1539,4,12,0
1540,3,8,0
1541,4,12,0
1542,4,8,0
1543,5,12,0
1544,3,12,0
1545,4,14,0
1546,4,10,0
1547,5,12,0
1548,4,12,0
1549,5,14,0
1550,5,10,0
1551,6,12,0
1552,3,12,0
1553,4,14,0
1554,4,10,0
1555,5,12,0
1556,4,12,0
1557,5,14,0
1558,5,10,0
1559,6,12,0
1560,4,16,0
1561,5,16,0
1562,5,12,0
1563,6,12,0
1564,5,16,0
1565,6,16,0
1566,6,12,0
1567,7,12,0
1568,3,8,0
1569,4,12,0
1570,4,6,0
1571,5,10,0
1572,4,6,0
1573,5,10,0
1574,5,4,0
1575,6,8,0
1576,4,10,0
1577,5,12,0
1578,5,10,0
1579,6,12,0
1580,5,8,0
1581,6,10,0
1582,6,8,0
1583,7,10,0
1584,4,12,0
1585,5,14,0
1586,5,8,0
1587,6,10,0
1588,5,10,0
1589,6,12,0
1590,6,6,0
1591,7,8,0
1592,5,14,0
1593,6,14,0
1594,6,12,0
1595,7,12,0
1596,6,12,0
1597,7,12,0
1598,7,10,0
1599,8,10,0
1600,3,8,0
1601,4,12,0
1602,4,6,0
1603,5,10,0
1604,4,6,0
1605,5,10,0
1606,5,4,0
1607,6,8,0
1608,4,12,0
1609,5,14,0
1610,5,8,0
1611,6,10,0
1612,5,10,0
1613,6,12,0
1614,6,6,0
1615,7,8,0
1616,4,10,0
1617,5,12,0
1618,5,10,0
1619,6,12,0
1620,5,8,0
1621,6,10,0
1622,6,8,0
1623,7,10,0
1624,5,14,0
1625,6,14,0
1626,6,12,0
1627,7,12,0
1628,6,12,0
1629,7,12,0
1630,7,10,0
1631,8,10,0
1632,4,8,0
1633,5,12,0
1634,5,4,0
1635,6,8,0
1636,5,4,0
1637,6,8,0
1638,6,0,1/1024
1639,7,4,0
1640,5,10,0
1641,6,12,0
1642,6,8,0
1643,7,10,0
1644,6,6,0
1645,7,8,0
1646,7,4,0
1647,8,6,0
1648,5,10,0
