kappa,mean_bessel,mean_quad,mean_ode_reflected,susceptibility_quad,mean_zero_variance_root,mean_wrong_coefficient_reflected,ode_bessel_difference
-0.9999999999999999,-0.24019372387008975,-0.24019372387008966,-0.24019372387008925,0.22172580340314987,-0.3027756377319946,-0.3130352854993309,4.996003610813204e-16
-0.975,-0.23463468891831835,-0.23463468891831848,-0.234634688918322,0.22299367377676277,-0.29644006798100964,-0.3061061371145032,3.6637359812630166e-15
-0.95,-0.2290442093244776,-0.22904420932447753,-0.2290442093244771,0.22424124704499585,-0.29002956890154774,-0.29911606960699694,4.996003610813204e-16
-0.9249999999999999,-0.22342280208409435,-0.22342280208409424,-0.22342280208409707,0.22546775826318055,-0.2835441674137415,-0.29206581156449374,2.7200464103316335e-15
-0.8999999999999999,-0.21777100327587595,-0.2177710032758759,-0.2177710032758756,0.22667244587929858,-0.2769839649484334,-0.2849561419188999,3.608224830031759e-16
-0.875,-0.21208936796500302,-0.21208936796500313,-0.21208936796500388,0.22785455268762345,-0.2703491413499721,-0.27778789023743417,8.604228440844963e-16
-0.85,-0.20637847008241184,-0.20637847008241184,-0.20637847008241145,0.22901332679557782,-0.26363995877254914,-0.27056193693435965,3.885780586188048e-16
-0.825,-0.2006389022797591,-0.20063890227975917,-0.20063890227975742,0.2301480226019399,-0.2568567655478777,-0.2632792133999019,1.6930901125533637e-15
-0.7999999999999999,-0.1948712757598117,-0.1948712757598117,-0.19487127575981164,0.23125790178444938,-0.24999999999999997,-0.25594070204370367,5.551115123125783e-17
-0.7749999999999999,-0.1890762200820475,-0.18907622008204747,-0.18907622008204591,0.23234223429478498,-0.24307019418103804,-0.24854743625039444,1.582067810090848e-15
-0.75,-0.1832543829433132,-0.18325438294331323,-0.18325438294331622,0.23340029935881254,-0.2360679774997897,-0.241100500244398,3.0253577421035516e-15
-0.725,-0.1774064299334316,-0.17740642993343167,-0.1774064299334314,0.23443138647993658,-0.22899408021326004,-0.2336010288624452,1.942890293094024e-16
-0.7,-0.17153304426570992,-0.17153304426571003,-0.17153304426570873,0.23543479644332357,-0.2218493367495498,-0.22605020723119582,1.1934897514720433e-15
-0.6749999999999999,-0.1656349264823555,-0.1656349264823555,-0.16563492648235695,0.23640984231871567,-0.2146346888290343,-0.21844927034887876,1.4432899320127035e-15
-0.65,-0.15971279413486203,-0.15971279413486203,-0.15971279413486175,0.23735585045950303,-0.20735118834950997,-0.21079950256909222,2.7755575615628914e-16
