case,method,kind,tau,lA,lC,phi,v,hp,hl,E,B,I_wrong
coupled_mixed,DOP853,full,2.9250000000000003,0.21931732571220006,0.18926956085459698,0.13020190419265032,-0.027647294985573678,0.07334540103465213,0.05749097311175172,0.052520851883488394,0.03869498135192741,
coupled_mixed,DOP853,full,2.95,0.2211504769894013,0.19070587191333646,0.12950771417608126,-0.02788737955968037,0.0733066642559774,0.05741403895947469,0.05236135074283973,0.03855337359002547,
coupled_mixed,DOP853,full,2.975,0.22298265709210968,0.19214026913279814,0.12880756155899922,-0.028124302820594513,0.07326770753142679,0.05733786443985732,0.0522027155249645,0.038412358664588364,
coupled_mixed,DOP853,full,3.0,0.22481386055603136,0.19357277138974058,0.128101525388759,-0.028358063643331807,0.07322853361473872,0.05726244045489703,0.052044938157279466,0.0382719342786842,
coupled_mixed,DOP853,full,3.0250000000000004,0.22664408198611524,0.19500339733546215,0.12738968473809328,-0.028588661121901778,0.07318914529125128,0.057187758065464875,0.05188801063042044,0.038132098137348386,
coupled_mixed,DOP853,full,3.0500000000000003,0.22847331605733126,0.1964321653997489,0.12667211869966027,-0.028816094568130852,0.0731495453772439,0.0571138084894007,0.05173192499778647,0.03799284794761515,
coupled_mixed,DOP853,full,3.075,0.23030155751543618,0.1978590937947753,0.12594890638061224,-0.029040363510475526,0.07310973671927043,0.057040583099614094,0.05157667337508873,0.037854181418549876,
coupled_mixed,DOP853,full,3.1,0.23212880117772194,0.19928420051895723,0.12522012689719486,-0.029261467692825702,0.07306972219348527,0.0569680734221916,0.051422247939904346,0.03771609626128265,
coupled_mixed,DOP853,full,3.125,0.2339550419337471,0.20070750336075782,0.12448585936937691,-0.02947940707329867,0.07302950470496246,0.05689627113450998,0.05126864093123492,0.03757859018904293,
coupled_mixed,DOP853,full,3.1500000000000004,0.2357802747460512,0.2021290199024461,0.1237461829155095,-0.029694181823024128,0.07298908718700821,0.0568251680633556,0.05111584464906977,0.0374416609171953,
coupled_mixed,DOP853,full,3.1750000000000003,0.237604494650852,0.20354876752380888,0.12300117664701568,-0.029905792324920657,0.07294847260046707,0.056754756183050176,0.05096385145395395,0.037305306163276375,
coupled_mixed,DOP853,full,3.2,0.2394276967587256,0.20496676340581568,0.12225091966311044,-0.030114239172464058,0.07290766393302217,0.05668502761358269,0.05081265376656094,0.03716952364703268,
coupled_mixed,DOP853,full,3.225,0.24124987625526856,0.20638302453423724,0.12149549104555185,-0.030319523168447927,0.07286666419848985,0.056615974618747886,0.05066224406726999,0.037034311090459605,
coupled_mixed,DOP853,full,3.25,0.24307102840174255,0.20779756770321733,0.12073496985342363,-0.030521645323736867,0.07282547643610879,0.05654758960429115,0.05051261489574815,0.03689966621784139,
coupled_mixed,DOP853,full,3.2750000000000004,0.2448911485357006,0.2092104095187986,0.11996943511794982,-0.030720606856012807,0.07278410370982444,0.05647986511605997,0.05036375885053679,0.036765586755792085,
coupled_mixed,DOP853,full,3.3000000000000003,0.2467102320715952,0.21062156640240184,0.11919896583734167,-0.030916409188514696,0.07274254910756861,0.05641279383816214,0.05021566858864283,0.036632070433297526,
coupled_mixed,DOP853,full,3.325,0.248528274501368,0.21203105459425983,0.11842364097167751,-0.031109053948772118,0.07270081574053484,0.05634636859113056,0.05006833682513441,0.03649911498175826,
coupled_mixed,DOP853,full,3.35,0.25034527139502455,0.2134388901568048,0.11764353943780434,-0.03129854296733276,0.07265890674244883,0.05628058233009504,0.04992175633274129,0.03636671813503306,
coupled_mixed,DOP853,full,3.375,0.2521612184011886,0.21484508897801077,0.11685874010427824,-0.03148487827648455,0.07261682526883559,0.05621542814296099,0.04977591994145962,0.0362348776294836,
coupled_mixed,DOP853,full,3.4000000000000004,0.25397611124763625,0.2162496667746901,0.11606932178634104,-0.03166806210897273,0.07257457449628342,0.05615089924859515,0.04963082053816112,0.03610359120401999,
coupled_mixed,DOP853,full,3.4250000000000003,0.2557899457418139,0.21765263909574503,0.11527536324092354,-0.03184809689671206,0.0725321576217042,0.05608698899501847,0.04948645106620681,0.035972856600147055,
coupled_mixed,DOP853,full,3.45,0.25760271777133714,0.21905402132537408,0.11447694316168301,-0.03202498526949455,0.07248957786159083,0.05602369085760624,0.049342804525065065,0.035842671562011416,
coupled_mixed,DOP853,full,3.475,0.2594144233044705,0.2204538286862334,0.11367414017407251,-0.03219873005369312,0.07244683845127205,0.05596099843729559,0.04919987396993408,0.035713033836449366,
coupled_mixed,DOP853,full,3.5,0.26122505839058957,0.2218520762425534,0.11286703283044228,-0.03236933427096139,0.07240394264416479,0.055898905458800455,0.049057652511368705,0.03558394117303544,
coupled_mixed,DOP853,full,3.5250000000000004,0.2630346191606236,0.22324877890321115,0.11205569960517342,-0.0325368011369299,0.07236089371102447,0.055837405768834114,0.04891613331491158,0.03545539132413174,
coupled_mixed,DOP853,full,3.5500000000000003,0.26484310182747967,0.22464395142475793,0.1112402188898445,-0.03270113405989924,0.07231769493919339,0.0557764933343394,0.04877530960072857,0.03532738204493786,
coupled_mixed,DOP853,full,3.575,0.2666505026864484,0.22603760841440318,0.11042066898843089,-0.03286233663953019,0.0722743496318476,0.055716162240726716,0.04863517464324836,0.03519991109354164,
coupled_mixed,DOP853,full,3.6,0.2684568181155899,0.2274297643329541,0.10959712811253754,-0.03302041266553138,0.07223086110724251,0.05565640669011997,0.04849572177080636,0.03507297623097033,
coupled_mixed,DOP853,full,3.625,0.27026204457610126,0.22882043349771178,0.10876967437666543,-0.03317536611634461,0.0721872326979575,0.05559722099961055,0.04835694436529266,0.034946575221242636,
