time,interval,light_mass,heavy_mass,light_amplitude,heavy_amplitude,log_C,effective_mass,light_spectral_fraction,heavy_spectral_fraction
42.5,0.5,0.1,1.0,1e-12,1.0,-31.88099666863662,0.10001771788263161,0.9999755530069049,2.4446993096038634e-05
42.75,0.5,0.1,1.0,1e-12,1.0,-31.90600159432136,0.10001414807370579,0.9999804785833595,1.952141664319262e-05
43.0,0.5,0.1,1.0,1e-12,1.0,-31.931005527577934,0.10001129750270313,0.9999844117708838,1.558822911513261e-05
43.25,0.5,0.1,1.0,1e-12,1.0,-31.956008668358212,0.10000902126234006,0.9999875525071362,1.2447492864949228e-05
43.5,0.5,0.1,1.0,1e-12,1.0,-31.981011176329286,0.10000720363908536,0.9999900604501349,9.939549863625868e-06
43.75,0.5,0.1,1.0,1e-12,1.0,-32.00601317898938,0.10000575223207629,0.9999920630923276,7.93690766818513e-06
44.0,0.5,0.1,1.0,1e-12,1.0,-32.03101477814883,0.10000459325662148,0.9999936622403676,6.337759634921618e-06
44.25,0.5,0.1,1.0,1e-12,1.0,-32.05601605510542,0.10000366779374417,0.9999949391896783,5.06081032151437e-06
44.5,0.5,0.1,1.0,1e-12,1.0,-32.081017074777144,0.1000029287952371,0.9999959588567591,4.04114324243149e-06
44.75,0.5,0.1,1.0,1e-12,1.0,-32.10601788900229,0.10000233869205746,0.9999967730789461,3.2269210488505897e-06
45.0,0.5,0.1,1.0,1e-12,1.0,-32.13101853917476,0.10000186748453276,0.9999974232495334,2.5767504694948954e-06
45.25,0.5,0.1,1.0,1e-12,1.0,-32.15601905834832,0.10000149121732162,0.9999979424218916,2.0575781098273874e-06
45.5,0.5,0.1,1.0,1e-12,1.0,-32.18101947291702,0.10000119076162121,0.9999983569898273,1.6430101732018845e-06
45.75,0.5,0.1,1.0,1e-12,1.0,-32.206019803956984,0.10000095084272495,0.9999986880292946,1.3119707052030186e-06
46.0,0.5,0.1,1.0,1e-12,1.0,-32.23102006829784,0.1000007592635017,0.9999989523698377,1.0476301635732028e-06
46.25,0.5,0.1,1.0,1e-12,1.0,-32.25602027937835,0.10000060628432521,0.9999991634501502,8.365498534540925e-07
46.5,0.5,0.1,1.0,1e-12,1.0,-32.281020447929585,0.10000048412793368,0.9999993320012621,6.679987383758773e-07
46.75,0.5,0.1,1.0,1e-12,1.0,-32.3060205825205,0.1000003865840496,0.9999994665921009,5.33407898495794e-07
47.0,0.5,0.1,1.0,1e-12,1.0,-32.33102068999355,0.10000030869366068,0.9999995740650914,4.259349039397668e-07
47.25,0.5,0.1,1.0,1e-12,1.0,-32.35602077581253,0.10000024649691201,0.9999996598840407,3.401159581200247e-07
47.5,0.5,0.1,1.0,1e-12,1.0,-32.381020844340384,0.10000019683179316,0.9999997284118733,2.715881274290752e-07
47.75,0.5,0.1,1.0,1e-12,1.0,-32.40602089906099,0.10000015717338624,0.9999997831324685,2.1686753644172788e-07
48.0,0.5,0.1,1.0,1e-12,1.0,-32.43102094275628,0.10000012550550257,0.9999998268277474,1.731722527379209e-07
48.25,0.5,0.1,1.0,1e-12,1.0,-32.45602097764768,0.1000001002181822,0.9999998617191419,1.3828085727514119e-07
48.5,0.5,0.1,1.0,1e-12,1.0,-32.48102100550903,0.10000008002584573,0.9999998895804855,1.1041951035458692e-07
48.75,0.5,0.1,1.0,1e-12,1.0,-32.50602102775677,0.1000000639019369,0.99999991182823,8.817177184722973e-08
49.0,0.5,0.1,1.0,1e-12,1.0,-32.53102104552195,0.10000005102673377,0.9999999295934099,7.040659110755013e-08
49.25,0.5,0.1,1.0,1e-12,1.0,-32.556021059707746,0.10000004074567498,0.9999999437792029,5.622080570447518e-08
49.5,0.5,0.1,1.0,1e-12,1.0,-32.58102107103532,0.10000003253608263,0.9999999551067741,4.4893225695274626e-08
49.75,0.5,0.1,1.0,1e-12,1.0,-32.60602108008058,0.10000002598058987,0.9999999641520325,3.58479691543561e-08
50.0,0.5,0.1,1.0,1e-12,1.0,-32.63102108730337,0.1000000207459225,0.99999997137482,2.8625184986092814e-08
50.25,0.5,0.1,1.0,1e-12,1.0,-32.656021093070876,0.10000001656595567,0.9999999771423307,2.2857674608214377e-08
50.5,0.5,0.1,1.0,1e-12,1.0,-32.68102109767632,0.10000001322818433,0.9999999817477774,1.825222398184319e-08
50.75,0.5,0.1,1.0,1e-12,1.0,-32.70602110135385,0.10000001056291977,0.9999999854252978,1.4574696931529474e-08
51.0,0.5,0.1,1.0,1e-12,1.0,-32.73102110429041,0.10000000843466278,0.9999999883618643,1.1638131917504942e-08
51.25,0.5,0.1,1.0,1e-12,1.0,-32.75602110663531,0.10000000673521504,0.9999999907067618,9.29323711398054e-09
51.5,0.5,0.1,1.0,1e-12,1.0,-32.781021108507744,0.10000000537817845,0.9999999925791982,7.420800574185014e-09
51.75,0.5,0.1,1.0,1e-12,1.0,-32.806021110002916,0.10000000429456272,0.999999994074372,5.925629623525469e-09
52.0,0.5,0.1,1.0,1e-12,1.0,-32.83102111119684,0.10000000342927799,0.9999999952682899,4.73171136639541e-09
